order_id,user_id,order_date,amount,discount_applied,is_successful
O5000,U1342,2023-06-06,4801.05,825.7,1
O5001,U1078,2024-01-21,4331.85,593.34,0
O5002,U1285,2023-04-13,1264.3,5.29,1
O5003,U1744,2023-01-26,4380.21,811.76,1
O5004,U1483,2023-09-24,2475.84,96.15,1
O5005,U1603,2024-06-26,2780.69,386.55,1
O5006,U1812,2023-01-07,3810.3,750.08,1
O5007,U2143,2023-05-29,1374.34,122.02,1
O5008,U1031,2024-04-24,2875.44,492.61,1
O5009,U1425,2023-11-15,1627.13,259.75,1
O5010,U1956,2024-01-13,1945.44,329.86,1
O5011,U1182,2024-02-12,1010.55,44.97,0
O5012,U1482,2023-07-04,3140.71,6.21,1
O5013,U1989,2024-01-29,502.33,76.76,1
O5014,U1275,2023-04-15,2021.15,344.1,1
O5015,U2028,2023-01-05,4870.61,447.65,1
O5016,U1775,2024-05-02,3425.46,597.85,1
O5017,U1679,2023-03-19,3674.06,455.58,1
O5018,U2073,2023-08-08,4656.71,57.57,1
O5019,U1037,2023-10-05,1773.91,181.15,1
O5020,U1808,2024-04-26,-100.0,505.35,1
O5021,U1168,2023-09-06,148.08,3.82,1
O5022,U1067,2023-03-31,4798.27,350.89,1
O5023,U1125,2023-12-25,884.38,40.2,1
O5024,U1160,2024-03-25,4398.57,308.85,1
O5025,U1841,2024-05-18,4621.12,171.69,1
O5026,U1220,2023-06-10,2602.07,480.79,1
O5027,U1048,2023-09-12,4807.4,496.41,1
O5028,U1255,2023-02-25,570.09,77.16,1
O5029,U1724,2023-07-11,882.09,46.68,1
O5030,U1364,2023-10-05,1348.53,231.13,1
O5031,U1056,2024-02-14,2217.4,401.09,1
O5032,U1175,2023-12-20,2910.88,102.91,1
O5033,U1262,2023-05-18,358.13,42.33,0
O5034,U1788,2023-10-12,4113.96,318.14,0
O5035,U2129,2023-07-12,3768.62,422.7,1
O5036,U1713,2023-12-12,3474.39,82.57,1
O5037,U1449,2023-06-30,4044.99,643.41,1
O5038,U1988,2023-06-24,1468.75,110.87,1
O5039,U1124,2023-12-19,477.65,16.71,1
O5040,U2079,2023-02-09,2806.79,63.92,1
O5041,U1925,2024-06-09,110.3,10.91,1
O5042,U1227,2023-07-24,1766.67,339.69,1
O5043,U1628,2024-03-28,4324.24,129.34,0
O5044,U1543,2023-06-08,4540.43,807.01,1
O5045,U1733,2024-04-20,389.97,17.41,1
O5046,U1745,2024-01-19,2944.18,186.03,1
O5047,U1052,2024-05-19,3665.93,578.84,1
O5048,U1981,2023-06-10,3046.64,426.36,1
O5049,U1881,2023-03-15,4493.88,798.64,1
O5050,U1142,2024-03-24,802.64,13.79,0
O5051,U1466,2024-05-06,350.85,49.28,1
O5052,U1146,2024-01-28,2496.91,192.88,0
O5053,U1972,2023-07-05,4104.87,43.91,1
O5054,U1296,2023-10-27,488.38,76.75,1
O5055,U1855,2023-06-15,577.88,61.78,0
O5056,U1027,2023-07-31,4188.52,15.66,1
O5057,U2185,2023-03-30,1588.8,71.93,1
O5058,U1250,2023-09-01,2725.98,453.53,1
O5059,U1522,2023-03-10,3932.05,630.05,1
O5060,U1507,2023-04-03,3418.87,483.29,1
O5061,U2057,2023-06-21,1225.93,118.12,1
O5062,U1473,2023-03-23,1228.77,113.7,1
O5063,U2162,2024-06-15,2412.19,86.64,1
O5064,U1922,2024-04-17,456.95,83.58,1
O5065,U1083,2023-11-06,789.45,36.69,1
O5066,U1960,2024-02-13,2571.2,11.57,1
O5067,U1014,2023-01-15,3732.06,361.37,1
O5068,U1939,2024-03-13,1480.43,212.6,1
O5069,U1935,2023-02-05,3070.97,284.08,0
O5070,U1754,2023-06-02,1928.18,324.75,1
O5071,U1134,2023-07-12,4585.27,295.88,1
O5072,U1631,2023-03-11,1206.34,207.88,1
O5073,U1943,2023-09-25,1326.3,178.42,1
O5074,U1686,2023-05-05,3996.24,286.64,1
O5075,U1575,2023-06-24,3388.38,139.05,1
O5076,U1523,2023-02-12,958.51,137.58,1
O5077,U2036,2024-01-07,3985.03,728.77,1
O5078,U1019,2024-06-22,2672.42,81.37,1
O5079,U1211,2024-03-30,570.42,0.16,1
O5080,U2071,2024-04-08,1439.88,93.62,1
O5081,U1164,2023-12-14,3048.91,384.77,1
O5082,U1887,2023-10-22,3403.69,270.18,1
O5083,U1022,2024-04-04,3434.25,566.23,1
O5084,U1693,2023-09-14,2547.15,252.63,1
O5085,U2020,2023-12-05,1257.28,128.6,1
O5086,U2120,2023-05-02,3748.9,595.25,1
O5087,U2099,2023-08-19,1906.02,49.32,1
O5088,U1965,2024-06-20,490.5,82.77,1
O5089,U1229,2023-01-12,4250.99,564.22,1
O5090,U1242,2024-03-13,840.65,163.84,1
O5091,U2065,2024-05-06,1351.7,269.87,1
O5092,U1863,2023-07-26,541.07,60.58,1
O5093,U1181,2023-12-20,3421.61,50.14,1
O5094,U1588,2023-04-28,3595.16,13.58,1
O5095,U1096,2023-10-05,4528.81,309.04,1
O5096,U1771,2023-10-23,4175.95,728.6,1
O5097,U1488,2023-01-26,1963.94,375.15,1
O5098,U1133,2023-01-15,661.53,86.43,1
O5099,U2060,2023-10-28,903.35,57.83,1
O5100,UXXXX,2024-02-23,4232.17,780.72,1
O5101,U1244,2023-08-12,405.33,57.95,1
O5102,U1607,2024-05-14,4570.6,628.49,1
O5103,U1050,2024-06-25,2448.55,94.33,1
O5104,U2092,2023-07-28,893.24,48.81,0
O5105,U1426,2023-12-04,3367.7,624.91,1
O5106,U1739,2023-04-27,1255.03,56.83,1
O5107,U1836,2024-01-17,4545.83,178.54,1
O5108,U1501,2023-07-07,1451.71,164.61,1
O5109,U1718,2023-12-31,704.2,86.92,1
O5110,U2129,2024-06-12,3981.05,523.06,1
O5111,U2017,2024-04-29,2461.36,77.72,1
O5112,U1109,2023-11-12,1226.93,138.07,0
O5113,U2019,2023-05-04,2559.99,280.97,1
O5114,U1559,2023-05-26,2380.35,52.91,1
O5115,U1769,2024-03-11,1650.08,93.02,1
O5116,U1727,2024-01-04,3695.61,583.71,1
O5117,U1332,2024-06-17,1378.04,240.73,1
O5118,U1545,2024-05-13,2219.7,265.38,1
O5119,U1613,2024-01-15,3499.29,651.03,1
O5120,U1627,2023-01-01,2147.33,222.36,1
O5121,U1614,2023-06-03,1766.33,57.06,1
O5122,U1386,2024-02-11,2951.17,3.21,1
O5123,U2133,2023-01-31,459.86,59.57,1
O5124,U2107,2024-05-16,956.8,124.54,1
O5125,U2162,2023-07-13,3671.39,675.7,1
O5126,U1073,2023-01-30,4070.48,786.66,1
O5127,U1699,2024-04-03,4442.27,146.04,1
O5128,U1415,2024-03-15,3368.41,274.86,1
O5129,U1097,2023-03-20,2770.86,238.09,1
O5130,U2191,2023-04-21,4432.87,216.25,1
O5131,U1883,2023-10-05,4882.66,674.05,1
O5132,U1681,2023-02-02,3931.71,284.07,1
O5133,U1154,2024-06-08,4113.28,38.18,1
O5134,U2011,2024-05-14,1282.43,9.19,0
O5135,U1247,2024-06-08,3947.08,238.4,1
O5136,U1942,2023-10-28,413.36,18.49,1
O5137,U1337,2024-06-23,1632.5,132.69,1
O5138,U1457,2023-08-24,2169.66,358.23,1
O5139,U1010,2023-07-08,1193.03,35.03,0
O5140,U1189,2024-05-24,3190.13,419.58,0
O5141,U1216,2023-05-01,4280.34,149.23,1
O5142,U2094,2023-03-13,1314.6,213.67,1
O5143,U1660,2023-03-17,199.35,18.08,1
O5144,U1036,2023-12-27,4511.87,470.08,1
O5145,U1543,2024-04-15,4991.84,624.16,1
O5146,U1859,2023-02-22,3570.01,269.17,1
O5147,U1498,2023-08-11,272.51,13.93,1
O5148,U2181,2024-04-06,2079.48,214.29,1
O5149,U1689,2023-09-30,1067.64,168.92,1
O5150,U1789,2023-10-08,1691.78,52.64,0
O5151,U1663,2023-09-22,2074.25,85.38,1
O5152,U1976,2023-08-01,1316.65,246.77,1
O5153,U1085,2023-08-17,3669.76,199.94,1
O5154,U1202,2024-01-26,3371.32,547.65,0
O5155,U1310,2023-08-30,1493.68,194.83,1
O5156,U1749,2023-09-11,3749.89,623.37,1
O5157,U1247,2023-05-09,3203.75,517.38,1
O5158,U1182,2023-10-23,158.53,0.12,1
O5159,U1183,2023-05-20,2979.61,79.97,1
O5160,U1999,2024-05-29,600.34,59.44,1
O5161,U1598,2023-04-11,1586.44,110.4,1
O5162,U1855,2023-08-31,2307.86,227.83,1
O5163,U1533,2023-08-30,3237.19,307.43,1
O5164,U1933,2024-01-12,497.26,23.47,1
O5165,U1490,2023-11-25,1822.47,95.77,1
O5166,U1338,2023-05-10,846.51,90.65,1
O5167,U1615,2024-04-14,3838.48,310.57,1
O5168,U1072,2023-02-27,3095.46,189.98,1
O5169,U2182,2023-01-02,2920.19,533.89,1
O5170,U1186,2023-06-07,1964.94,238.34,1
O5171,U1764,2023-04-11,1907.08,113.49,1
O5172,U2114,2024-01-15,3148.66,578.44,1
O5173,U1116,2023-03-01,1623.05,165.42,1
O5174,U1822,2023-12-10,2230.18,246.25,1
O5175,U1791,2024-01-13,1427.12,77.67,1
O5176,U1642,2024-01-22,3747.17,678.26,1
O5177,U1956,2024-04-18,1866.73,159.95,1
O5178,U1136,2023-06-14,1304.99,4.51,0
O5179,U1167,2023-12-02,754.17,92.37,1
O5180,U1601,2023-01-26,3181.66,227.37,1
O5181,U1988,2024-03-16,908.48,130.5,1
O5182,U1553,2023-06-24,213.9,6.32,0
O5183,U1223,2024-04-15,769.84,28.55,1
O5184,U1615,2023-08-16,1353.23,50.73,1
O5185,U2060,2023-05-21,1555.87,269.11,1
O5186,U1173,2024-01-04,2369.8,344.79,1
O5187,U1972,2023-08-05,1515.18,202.86,1
O5188,U1490,2024-04-01,830.35,6.56,1
O5189,U1935,2023-08-20,1645.37,32.76,1
O5190,U1434,2024-02-04,3704.02,371.24,1
O5191,U1955,2023-09-18,2931.6,301.37,1
O5192,U1736,2023-08-02,3745.99,651.3,0
O5193,U1744,2023-06-16,1672.59,106.64,1
O5194,U1505,2023-11-23,1685.72,248.43,1
