user_id,action_date,action_type,feature_name
U1731,2023-01-22,feature_click,FeatureX
U1731,2023-02-10,feature_click,Dashboard
U1731,2023-03-03,logout,FeatureY
U1731,2023-03-03,logout,ChatSupport
U1731,2023-03-12,login,FeatureX
U1731,2023-04-04,logout,Settings
U1731,2023-04-20,feature_click,ReportBuilder
U1731,2023-05-09,logout,FeatureY
U1731,2023-05-18,login,
U1731,2023-06-07,logout,ChatSupport
U1731,2023-06-08,logout,ExportTool
U1731,2023-06-14,feature_click,FeatureY
U1731,2023-07-11,logout,FeatureX
U1731,2023-07-14,login,ReportBuilder
U1731,2023-07-17,logout,ReportBuilder
U1731,2023-08-27,login,ChatSupport
U1731,2023-09-14,login,Dashboard
U1731,2023-10-09,login,ReportBuilder
U1731,2023-10-29,feature_click,Settings
U1731,2023-10-30,login,Dashboard
U1731,2023-11-21,logout,FeatureY
U1731,2023-11-28,logout,
U1731,2023-12-13,logout,ExportTool
U1731,2023-12-22,login,FeatureX
U1731,2023-12-23,login,ReportBuilder
U1731,2023-12-31,login,Settings
U1731,2024-01-02,logout,
U1731,2024-01-22,login,
U1731,2024-03-24,logout,Dashboard
U1731,2024-03-25,feature_click,FeatureY
U1731,2024-04-05,feature_click,Dashboard
U1731,2024-04-24,logout,ExportTool
U1731,2024-05-11,logout,Dashboard
U1731,2024-05-14,logout,ReportBuilder
U1731,2024-05-16,feature_click,ReportBuilder
U1731,2024-06-27,login,ReportBuilder
U1262,2023-04-19,logout,
U1262,2023-07-03,logout,FeatureY
U1262,2023-07-14,login,ChatSupport
U1262,2023-07-17,login,FeatureY
U1262,2023-08-25,logout,FeatureX
U1262,2023-09-12,logout,ChatSupport
U1262,2024-01-02,logout,
U1262,2024-01-30,feature_click,FeatureX
U1262,2024-03-01,logout,FeatureX
U1262,2024-06-22,feature_click,FeatureY
U1262,2024-06-28,logout,FeatureY
U1480,2023-01-01,login,
U1480,2023-01-07,feature_click,ChatSupport
U1480,2023-01-17,login,ExportTool
U1480,2023-01-23,feature_click,Settings
U1480,2023-02-05,login,ExportTool
U1480,2023-04-07,feature_click,ReportBuilder
U1480,2023-05-19,logout,FeatureY
U1480,2023-06-08,logout,Settings
U1480,2023-08-08,logout,ReportBuilder
U1480,2023-08-08,logout,FeatureX
U1480,2023-08-16,feature_click,ChatSupport
